"Route","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"84",37276,37276,28297,1.31731278934163,1.31731278934163,9.52166928049573,1299,40.023799,-75.076988,00:00:07
"88",57469,57469,46367,1.23943753100265,1.23943753100265,5.49905034532897,4140,40.023696,-75.076896,00:00:10
"88S",6197,6197,2661,2.32882375046975,2.32882375046975,11.3269557341786,423,40.109031,-75.080406,00:00:12
"89",32236,32236,30436,1.0591404915232,1.0591404915232,4.21256676952329,1731,40.016868,-75.084197,00:00:11
"AFG",774,774,391,1.97953964194373,1.97953964194373,6.18696778970752,140,40.013492,-75.143356,00:00:13
"AFL",1925,1925,1003,1.91924227318046,1.91924227318046,14.8070745044429,191,40.023696,-75.076896,00:00:07
"BLVDDIR",150,150,84,1.78571428571429,1.78571428571429,3.71317829457364,20,40.030094,-75.074302,00:00:29
"BSO",7683,7683,3562,2.15693430656934,2.15693430656934,15.3333890095206,215,40.041938,-75.13697,00:00:28
"G",133243,133243,93995,1.41755412521943,1.41755412521943,10.0689706937101,2556,39.907943,-75.155303,00:00:13
"H",93343,93343,69776,1.33775223572575,1.33775223572575,9.84036758375121,2912,40.074832,-75.159095,00:00:14
"HRS",3287,3287,1008,3.2609126984127,3.2609126984127,25.8399118413144,156,40.037895,-75.223152,00:00:12
"J",85819,85819,69864,1.22837226611703,1.22837226611703,7.16693067261254,2986,39.997337,-75.073616,00:00:12
"K",274993,274993,198097,1.3881734705725,1.3881734705725,11.1913875949088,7783,40.023696,-75.076896,00:00:12
"L",117848,117848,82156,1.43444179366084,1.43444179366084,9.94897613602639,5232,40.015144,-75.164581,00:00:17
"MFO",21940,21940,10168,2.15774980330448,2.15774980330448,12.4499419121164,536,39.957115,-75.202178,00:00:47
"R",333692,333692,192287,1.73538512743971,1.73538512743971,12.6605932195236,9995,40.023624,-75.077735,00:00:16
"WCS",554,554,441,1.2562358276644,1.2562358276644,6.03730199284619,78,39.916683,-75.181129,00:00:08
"WPA",349,349,184,1.89673913043478,1.89673913043478,6.12907608695652,22,39.920574,-75.232994,00:00:14
"WPS",1228,1228,681,1.80323054331865,1.80323054331865,10.4328749181401,52,39.945095,-75.241722,00:00:13
"WR1",121,121,65,1.86153846153846,1.86153846153846,3.35834266517357,18,40.10662,-75.026908,00:00:01
"WR2",215,215,161,1.33540372670807,1.33540372670807,5.0656862745098,38,40.023696,-75.076896,00:00:03
"WR3",5118,5118,1261,4.05868358445678,4.05868358445678,19.1291158931812,252,40.092758,-75.052749,00:00:15
"WR4",7469,7469,1584,4.71527777777778,4.71527777777778,25.7317200104085,288,40.023696,-75.076896,00:00:30
"WR5",928,928,403,2.30272952853598,2.30272952853598,11.5813549507817,44,40.064399,-74.981369,00:00:05
"WR6",1175,1175,608,1.93256578947368,1.93256578947368,10.9100449775112,84,40.096458,-74.975814,00:00:02
"XH",108254,108254,77709,1.39306901388514,1.39306901388514,11.1146233208322,3340,40.068485,-75.148429,00:00:17
"204",9498,9498,10395,0.913708513708514,0.913708513708514,2.16227626970834,1744,40.042369,-75.484054,00:00:16
"310",20417,20417,14244,1.43337545633249,1.43337545633249,3.83358949545549,2311,40.052425,-75.185668,00:00:22
"311",12372,12372,12894,0.959516053978595,0.959516053978595,2.10816412562355,2141,40.052425,-75.185668,00:00:18
"312",3048,3048,442,6.89592760180996,6.89592760180996,6.43037974683544,237,40.072006,-74.952224,00:04:41
