GEOID,NAME,education_BA,education_MS,education_tot,eductation_HS,med_age,med_income,total_pop,education_HS_p,education_BA_p,education_MS_p,income_bucket
42101025600,"Census Tract 256, Philadelphia County, Pennsylvania",173,166,2151,157,49.5,96488,2619,0.06,0.07,0.06,high_income
42101025700,"Census Tract 257, Philadelphia County, Pennsylvania",315,224,2983,118,40.7,62386,3928,0.03,0.08,0.06,high_income
42101025800,"Census Tract 258, Philadelphia County, Pennsylvania",69,48,1293,210,47.1,58828,1758,0.12,0.04,0.03,high_income
42101025900,"Census Tract 259, Philadelphia County, Pennsylvania",118,41,3127,461,42.4,45000,4282,0.11,0.03,0.01,mid_income
42101026000,"Census Tract 260, Philadelphia County, Pennsylvania",116,80,2382,367,41.1,48347,3083,0.12,0.04,0.03,mid_income
42101026100,"Census Tract 261, Philadelphia County, Pennsylvania",154,43,2498,450,54.1,35869,3206,0.14,0.05,0.01,mid_income
42101026200,"Census Tract 262, Philadelphia County, Pennsylvania",180,8,3138,492,48.6,53299,3880,0.13,0.05,0,mid_income
42101026301,"Census Tract 263.01, Philadelphia County, Pennsylvania",96,89,2689,455,43.1,38315,3733,0.12,0.03,0.02,mid_income
42101026302,"Census Tract 263.02, Philadelphia County, Pennsylvania",206,68,4007,763,39.1,44505,5167,0.15,0.04,0.01,mid_income
42101026400,"Census Tract 264, Philadelphia County, Pennsylvania",143,0,3956,740,44.4,53342,5510,0.13,0.03,0,mid_income
42101026500,"Census Tract 265, Philadelphia County, Pennsylvania",93,7,3180,751,36,44179,5237,0.14,0.02,0,mid_income
42101026600,"Census Tract 266, Philadelphia County, Pennsylvania",191,106,4534,832,42.3,44406,6677,0.12,0.03,0.02,mid_income
42101026700,"Census Tract 267, Philadelphia County, Pennsylvania",131,114,4035,585,32.7,33978,6632,0.09,0.02,0.02,low_income
42101026800,"Census Tract 268, Philadelphia County, Pennsylvania",145,73,3356,564,45.8,38026,4442,0.13,0.03,0.02,mid_income
42101026900,"Census Tract 269, Philadelphia County, Pennsylvania",80,63,1696,305,45.8,54722,2288,0.13,0.03,0.03,mid_income
42101027000,"Census Tract 270, Philadelphia County, Pennsylvania",223,90,1883,251,39.3,57411,2774,0.09,0.08,0.03,high_income
42101027100,"Census Tract 271, Philadelphia County, Pennsylvania",191,38,2009,269,40.7,48137,2798,0.1,0.07,0.01,mid_income
42101027200,"Census Tract 272, Philadelphia County, Pennsylvania",240,34,3217,403,37.5,51676,4939,0.08,0.05,0.01,mid_income
42101027300,"Census Tract 273, Philadelphia County, Pennsylvania",18,42,4265,1036,36.2,39296,6268,0.17,0,0.01,mid_income
42101027401,"Census Tract 274.01, Philadelphia County, Pennsylvania",119,15,2418,464,45.4,37611,3294,0.14,0.04,0,mid_income
42101027402,"Census Tract 274.02, Philadelphia County, Pennsylvania",188,65,4283,594,30.8,39306,7113,0.08,0.03,0.01,mid_income
42101027500,"Census Tract 275, Philadelphia County, Pennsylvania",187,18,2892,449,30,47964,5135,0.09,0.04,0,mid_income
42101027600,"Census Tract 276, Philadelphia County, Pennsylvania",86,42,2414,375,36.5,31552,3685,0.1,0.02,0.01,low_income
42101027700,"Census Tract 277, Philadelphia County, Pennsylvania",116,91,3271,569,37.9,28038,4792,0.12,0.02,0.02,low_income
42101027800,"Census Tract 278, Philadelphia County, Pennsylvania",87,41,3063,629,35.8,33858,4582,0.14,0.02,0.01,low_income
42101027901,"Census Tract 279.01, Philadelphia County, Pennsylvania",98,85,2866,499,32.7,46486,4155,0.12,0.02,0.02,mid_income
42101027902,"Census Tract 279.02, Philadelphia County, Pennsylvania",64,23,1532,285,21.4,28892,4095,0.07,0.02,0.01,low_income
42101028000,"Census Tract 280, Philadelphia County, Pennsylvania",90,9,2828,562,41.5,21604,4232,0.13,0.02,0,low_income
42101028100,"Census Tract 281, Philadelphia County, Pennsylvania",74,26,2961,469,31.4,37422,4792,0.1,0.02,0.01,mid_income
42101028200,"Census Tract 282, Philadelphia County, Pennsylvania",133,140,3159,575,35.4,29413,4961,0.12,0.03,0.03,low_income
42101028300,"Census Tract 283, Philadelphia County, Pennsylvania",168,77,3958,993,34,30328,6535,0.15,0.03,0.01,low_income
42101028400,"Census Tract 284, Philadelphia County, Pennsylvania",37,0,2499,395,32,27431,4104,0.1,0.01,0,low_income
42101028500,"Census Tract 285, Philadelphia County, Pennsylvania",22,25,1569,231,36,30202,2489,0.09,0.01,0.01,low_income
42101028600,"Census Tract 286, Philadelphia County, Pennsylvania",159,27,3824,535,29.8,28114,6653,0.08,0.02,0,low_income
42101028700,"Census Tract 287, Philadelphia County, Pennsylvania",6,19,1483,349,25.8,27672,2813,0.12,0,0.01,low_income
42101028800,"Census Tract 288, Philadelphia County, Pennsylvania",39,58,2759,333,33.9,30205,4531,0.07,0.01,0.01,low_income
42101028901,"Census Tract 289.01, Philadelphia County, Pennsylvania",56,30,2564,496,26.3,38920,4574,0.11,0.01,0.01,mid_income
42101028902,"Census Tract 289.02, Philadelphia County, Pennsylvania",189,0,4124,590,28.2,30634,7068,0.08,0.03,0,low_income
42101029000,"Census Tract 290, Philadelphia County, Pennsylvania",221,42,4320,966,26.2,39978,8005,0.12,0.03,0.01,mid_income
42101029100,"Census Tract 291, Philadelphia County, Pennsylvania",177,28,2896,318,29.8,25905,5048,0.06,0.04,0.01,low_income
42101029200,"Census Tract 292, Philadelphia County, Pennsylvania",117,38,3061,390,32.4,49272,5199,0.08,0.02,0.01,mid_income
42101029300,"Census Tract 293, Philadelphia County, Pennsylvania",7,7,1709,592,30,29535,2947,0.2,0,0,low_income
42101029400,"Census Tract 294, Philadelphia County, Pennsylvania",16,11,2112,485,31.8,19952,3773,0.13,0,0,very_low_income
42101029800,"Census Tract 298, Philadelphia County, Pennsylvania",37,25,2937,507,32.3,27733,4662,0.11,0.01,0.01,low_income
42101029900,"Census Tract 299, Philadelphia County, Pennsylvania",61,6,2490,415,30.6,21652,4136,0.1,0.01,0,low_income
42101030000,"Census Tract 300, Philadelphia County, Pennsylvania",8,15,3965,743,30.9,28968,6748,0.11,0,0,low_income
