stop_id,daily_ons,daily_offs
385,7.936053409968936,61.539984203400465
388,577,91
389,37,77
391,2,11
392,1,21
393,1,2
394,0,2
395,5,2
398,14,4
399,1,1
400,3,2
401,13,4
402,9,2
403,22,36
404,162,47
406,16,92
407,0,6
408,5,20
409,2,61
410,912,527
413,35,1
414,39,11
415,90,21
419,149,66
420,224,203
421,164,169
432,118,168
433,270,312
434,147,246
435,47,156
436,4,54
437,61,73
442,0.6428571428571428,1.6369047619047619
443,16.897408506595394,8.556020172049273
444,8.3284826957192,24.359993788311865
446,0.058823529411764705,0.567156862745098
456,11.46064714418373,1.5810821630943581
460,3.2227874249933075,3.659512138188609
462,17.92547485194544,8.77183563770251
467,16.93798863939722,114.65150633903204
469,15,16
470,7,3
471,18,3
476,48.32480844287109,9.669729887706843
477,0,0
478,138,40
481,65,13
