"Year","Month","Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"2020","Feb","1096",64,99,57,1.12280701754386,1.73684210526316,5.70526315789474,95,40.114696,-74.988395,00:00:07
"2020","Feb","1097",263,170,157,1.67515923566879,1.0828025477707,0.65952380952381,420,40.134853,-75.009788,00:03:53
"2020","Feb","1099",27,50,37,0.72972972972973,1.35135135135135,4.91176470588235,102,40.114719,-74.988639,00:00:04
"2020","Feb","11",41,99,64,0.640625,1.546875,13.0931034482759,290,40.104026,-75.000877,00:00:03
"2020","Feb","1100",113,52,86,1.31395348837209,0.604651162790698,5.98591549295775,355,40.091464,-74.966079,00:00:03
"2020","Feb","1101",54,237,100,0.54,2.37,9.46478873239437,213,40.063426,-74.985679,00:00:07
"2020","Feb","1102",297,236,165,1.8,1.43030303030303,5.6948717948718,390,40.054325,-74.983924,00:03:50
"2020","Feb","1104",39,280,95,0.410526315789474,2.94736842105263,9.59868421052632,304,40.030265,-75.035064,00:00:10
"2020","Feb","1105",126,69,87,1.44827586206897,0.793103448275862,12.8010204081633,196,40.013923,-75.055938,00:00:06
"2020","Feb","1106",567,233,380,1.49210526315789,0.613157894736842,18.0962099125364,686,40.030689,-75.05484,00:00:07
"2020","Feb","1107",259,192,298,0.869127516778524,0.644295302013423,13.4974446337308,1174,40.032661,-75.072273,00:00:03
"2020","Feb","1108",248,107,191,1.29842931937173,0.56020942408377,9.17015341701534,717,40.028263,-75.063827,00:00:03
"2020","Feb","1109",170,287,214,0.794392523364486,1.3411214953271,7.40891472868217,516,40.041255,-75.049049,00:00:06
"2020","Feb","111",62,17198,1323,0.0468631897203326,12.9992441421013,3.89285714285714,1708,40.022968,-75.078292,00:01:08
"2020","Feb","1111",81,498,218,0.371559633027523,2.28440366972477,4.27290836653386,502,40.056098,-75.028465,00:00:06
"2020","Feb","1112",34,97,71,0.47887323943662,1.36619718309859,2.68208092485549,346,40.056343,-75.01934,00:00:02
"2020","Feb","1113",17,3,13,1.30769230769231,0.230769230769231,2.18956043956044,364,40.054512,-75.010162,00:00:00
"2020","Feb","1114",15,8,9,1.66666666666667,0.888888888888889,7.73480662983425,181,40.085384,-75.039375,00:00:01
"2020","Feb","1115",11,9,11,1,0.818181818181818,2.79775280898876,178,40.104225,-75.051918,00:00:00
"2020","Feb","1116",98,64,109,0.899082568807339,0.587155963302752,2.07670454545455,352,40.118007,-75.067543,00:00:04
"2020","Feb","1117",329,317,210,1.56666666666667,1.50952380952381,1.85135135135135,444,40.109031,-75.080406,00:05:18
"2020","Feb","1120",30,3,21,1.42857142857143,0.142857142857143,2.54418604651163,215,40.104671,-75.052139,00:00:02
"2020","Feb","1121",34,24,16,2.125,1.5,7.94117647058824,238,40.085567,-75.039474,00:00:00
"2020","Feb","11217",1,0,1,1,0,8.6,5,40.044483,-75.144508,00:00:04
"2020","Feb","1122",132,93,117,1.12820512820513,0.794871794871795,5.76255707762557,219,40.074596,-75.035186,00:00:10
