"Stop","Total_Ins","Total_Outs","NbrStops","Mean_Ins","Mean_Outs","Mean_Load","NbrTrips","Lat","Lon","Mean_DwellTime"
"1189",1929,817,1245,1.54939759036145,0.656224899598394,23.0590086546027,2542,40.010795,-75.15129,00:00:13
"119",705,1136,941,0.749202975557917,1.20722635494155,10.9248844375963,2596,40.026943,-75.117408,00:00:07
"1190",271,665,535,0.506542056074766,1.24299065420561,10.5646123260437,2515,40.052692,-75.185729,00:00:03
"11944",40,466,306,0.130718954248366,1.52287581699346,10.8481561822126,1383,39.973049,-75.18206,00:00:02
"12",362,436,333,1.08708708708709,1.30930930930931,7.80460683081811,1259,40.086688,-74.999664,00:00:24
"12058",537,205,471,1.14012738853503,0.435244161358811,6.53420058749475,2383,40.011154,-75.15586,00:00:03
"121",75,14,51,1.47058823529412,0.274509803921569,1.15037593984962,133,40.067138,-75.230957,00:00:37
"1216",158,99,130,1.21538461538462,0.761538461538461,7.55598455598456,259,39.936237,-75.158386,00:00:09
"122",31,0,23,1.34782608695652,0,3.58108108108108,74,40.056964,-75.236236,00:00:04
"1220",319,514,404,0.78960396039604,1.27227722772277,6.90974729241877,1385,39.960968,-75.151863,00:00:05
"12253",3,26,18,0.166666666666667,1.44444444444444,2.08064516129032,62,40.064033,-75.239425,00:00:04
"12261",526,449,551,0.954627949183303,0.814882032667877,13.1160751565762,2395,40.01633,-75.210563,00:00:02
"12269",76,21,49,1.55102040816327,0.428571428571429,3.71074380165289,363,40.037914,-75.222419,00:00:02
"1227",2694,1283,1630,1.65276073619632,0.787116564417178,0.695944200464996,3871,40.053916,-75.005393,00:06:09
"12270",373,364,336,1.11011904761905,1.08333333333333,9.69165964616681,1187,39.969463,-75.164329,00:00:03
"12274",0,0,0,NA,NA,6.75,8,40.034111,-75.21582,00:00:00
"12275",80,76,97,0.824742268041237,0.783505154639175,4.26344086021505,372,40.034156,-75.216079,00:00:04
"12278",549,531,525,1.04571428571429,1.01142857142857,12.0801044841097,2297,40.023422,-75.207817,00:00:03
"1229",69,12,65,1.06153846153846,0.184615384615385,3.14905149051491,369,40.064258,-74.999359,00:00:02
